[2025-07-29T20:39:06.785+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-29T20:39:07.577+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [queued]>
[2025-07-29T20:39:07.887+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [queued]>
[2025-07-29T20:39:07.888+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-07-29T20:39:08.248+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): process_urls_sequentially> on 2025-07-29 20:38:00.592017+00:00
[2025-07-29T20:39:08.265+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=376) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-29T20:42:13.337+0000] {logging_mixin.py:188} INFO - Scraping Page 58 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:16.204+0000] {logging_mixin.py:188} INFO - Scraping Page 59 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:16.261+0000] {logging_mixin.py:188} INFO - No reviews found on page 59.
[2025-07-29T20:42:21.438+0000] {logging_mixin.py:188} INFO - Scraping Page 60 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:24.182+0000] {logging_mixin.py:188} INFO - Scraping Page 61 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:26.990+0000] {logging_mixin.py:188} INFO - Scraping Page 62 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:29.818+0000] {logging_mixin.py:188} INFO - Scraping Page 63 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:32.579+0000] {logging_mixin.py:188} INFO - Scraping Page 64 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:35.362+0000] {logging_mixin.py:188} INFO - Scraping Page 65 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:38.123+0000] {logging_mixin.py:188} INFO - Scraping Page 66 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:40.871+0000] {logging_mixin.py:188} INFO - Scraping Page 67 for Apple iPhone 12 (Blue, 128 GB)...
